Year,County FIPS Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income
2003,073,San Diego County,"331,677",11.6,"114,706",15.2,"78,281",14.7,"48,766"
2003,077,San Joaquin County,"92,380",14.5,"37,887",19.8,"26,295",19.0,"42,789"
2003,079,San Luis Obispo County,"26,705",11.1,"6,976",13.8,"4,800",12.6,"44,310"
2003,081,San Mateo County,"47,375",6.8,"13,472",8.3,"9,247",8.2,"65,110"
2003,083,Santa Barbara County,"50,645",13.0,"17,448",17.7,"12,017",17.2,"45,818"
2003,085,Santa Clara County,"145,624",8.8,"46,574",11.1,"31,007",10.8,"68,223"
2003,087,Santa Cruz County,"27,485",11.3,"8,788",15.3,"5,801",14.3,"50,977"
2003,089,Shasta County,"23,569",13.5,"8,316",20.0,"5,839",18.7,"36,478"
2003,091,Sierra County,317,9.2,93,13.7,73,13.4,"36,545"
2003,093,Siskiyou County,"6,896",15.6,"2,306",24.5,"1,662",23.1,"31,165"
2003,095,Solano County,"33,164",8.3,"12,696",11.2,"8,404",10.2,"56,595"
2003,097,Sonoma County,"40,475",8.8,"12,464",11.4,"8,438",10.6,"52,088"
2003,099,Stanislaus County,"69,496",14.1,"29,074",19.7,"20,475",19.1,"41,619"
2003,101,Sutter County,"11,017",12.9,"4,413",18.7,"3,078",17.9,"39,718"
2003,103,Tehama County,"8,762",14.8,"3,436",22.8,"2,484",21.9,"32,905"
2003,105,Trinity County,"1,930",14.4,577,21.6,439,21.0,"29,063"
2003,107,Tulare County,"85,104",21.4,"40,798",31.3,"28,411",30.8,"33,190"
2003,109,Tuolumne County,"6,012",11.5,"1,807",17.3,"1,269",15.7,"39,620"
2003,111,Ventura County,"76,668",9.7,"28,692",13.2,"18,942",12.0,"57,885"
2003,113,Yolo County,"21,320",12.0,"6,375",14.3,"4,780",14.7,"43,612"
2003,115,Yuba County,"10,602",16.7,"4,852",25.0,"3,600",26.2,"32,802"
2004,001,Alameda County,"158,587",11.1,"54,176",14.9,"36,993",14.6,"57,659"
2004,003,Alpine County,153,13.2,44,21.7,31,21.7,"42,827"
2004,005,Amador County,"2,997",8.8,833,12.5,599,11.6,"47,459"
2004,007,Butte County,"31,826",15.2,"10,018",21.2,"6,902",19.6,"34,891"
2004,009,Calaveras County,"4,323",9.3,"1,203",13.2,877,12.2,"46,052"
2004,011,Colusa County,"2,431",11.7,"1,015",16.7,700,16.2,"38,350"
2004,013,Contra Costa County,"78,512",7.8,"27,907",10.6,"18,759",9.7,"65,459"
2004,015,Del Norte County,"4,779",19.2,"1,552",25.0,"1,137",24.4,"31,502"
2004,017,El Dorado County,"12,126",6.9,"3,740",9.2,"2,453",7.9,"56,629"
2004,019,Fresno County,"170,457",19.8,"77,352",28.6,"51,987",27.0,"36,930"
2004,021,Glenn County,"3,940",14.4,"1,677",21.1,"1,185",20.6,"34,883"
2004,023,Humboldt County,"19,295",15.4,"5,759",21.1,"4,000",20.2,"33,281"
2004,025,Imperial County,"26,890",18.5,"12,335",26.0,"7,644",23.3,"33,674"
2004,027,Inyo County,"1,895",10.5,613,15.3,438,14.5,"38,853"
2004,029,Kern County,"129,287",17.8,"57,827",24.9,"39,272",23.7,"38,689"
2004,031,Kings County,"21,396",17.6,"8,737",21.6,"5,990",21.1,"38,238"
2004,033,Lake County,"10,067",15.6,"3,365",22.8,"2,427",21.7,"32,757"
2004,035,Lassen County,"4,002",15.7,"1,143",17.2,808,15.7,"39,143"
2004,037,Los Angeles County,"1,640,167",16.7,"652,752",23.9,"445,961",22.8,"43,518"
2004,039,Madera County,"24,064",17.9,"10,096",25.1,"7,017",24.8,"37,881"
2004,041,Marin County,"16,556",7.0,"4,223",8.4,"2,952",8.3,"67,731"
2004,043,Mariposa County,"1,973",11.0,547,16.2,408,15.5,"37,355"
2004,045,Mendocino County,"12,503",14.4,"4,493",21.9,"3,114",20.9,"36,624"
2004,047,Merced County,"40,505",17.0,"18,390",23.3,"12,378",21.7,"38,792"
2004,049,Modoc County,"1,429",15.5,479,23.7,360,22.7,"29,526"
2004,051,Mono County,"1,031",8.2,312,11.4,230,11.6,"48,083"
2004,053,Monterey County,"50,686",12.9,"21,599",18.5,"14,525",18.1,"46,971"
2004,055,Napa County,"10,036",7.8,"3,306",10.7,"2,339",10.5,"53,184"
2004,057,Nevada County,"7,685",7.9,"2,228",11.4,"1,530",10.1,"49,811"
2004,059,Orange County,"300,866",10.2,"113,395",14.2,"75,577",13.2,"58,605"
2004,061,Placer County,"17,543",5.6,"5,715",7.8,"3,870",7.0,"64,642"
2004,063,Plumas County,"2,092",9.8,612,14.6,441,13.5,"41,309"
2004,065,Riverside County,"229,043",11.9,"92,584",16.7,"60,958",15.1,"46,885"
2004,067,Sacramento County,"183,173",13.6,"70,080",18.9,"47,633",17.8,"47,215"
2004,069,San Benito County,"4,866",8.8,"2,078",12.1,"1,447",11.5,"57,595"
2004,071,San Bernardino County,"295,608",15.4,"126,952",21.1,"85,246",19.3,"43,179"
2004,073,San Diego County,"308,791",10.9,"111,422",14.7,"75,080",14.2,"51,939"
2004,077,San Joaquin County,"90,952",14.0,"37,197",18.9,"25,250",17.9,"44,814"
2004,079,San Luis Obispo County,"25,038",10.4,"6,560",12.9,"4,361",11.5,"46,225"
2004,081,San Mateo County,"45,963",6.6,"13,704",8.3,"9,517",8.4,"65,425"
2004,083,Santa Barbara County,"48,475",12.5,"17,061",17.3,"11,437",16.5,"46,706"
2004,085,Santa Clara County,"141,085",8.4,"44,747",10.5,"30,196",10.3,"68,842"
2004,087,Santa Cruz County,"26,245",10.8,"8,446",14.7,"5,460",13.7,"52,031"
2004,089,Shasta County,"23,808",13.4,"8,425",20.1,"5,868",18.8,"37,696"
2004,091,Sierra County,309,9.1,92,13.0,75,13.3,"37,599"
2004,093,Siskiyou County,"6,775",15.1,"2,258",23.5,"1,594",22.2,"32,531"
2004,095,Solano County,"34,400",8.7,"13,201",11.6,"8,521",10.3,"57,728"
2004,097,Sonoma County,"38,637",8.4,"11,998",11.0,"8,057",10.1,"53,645"
2004,099,Stanislaus County,"67,834",13.6,"28,249",18.8,"19,386",17.8,"43,072"
2004,101,Sutter County,"10,659",12.1,"4,258",17.5,"2,929",16.8,"41,289"
2004,103,Tehama County,"8,759",14.5,"3,343",21.7,"2,378",20.8,"34,520"
2004,105,Trinity County,"1,908",14.2,578,21.7,439,21.1,"30,307"
2004,107,Tulare County,"84,862",20.9,"39,881",29.7,"27,421",29.0,"34,809"
2004,109,Tuolumne County,"6,069",11.6,"1,729",16.5,"1,196",14.8,"41,067"
2004,111,Ventura County,"73,267",9.3,"28,303",13.0,"18,888",12.0,"59,379"
2004,113,Yolo County,"19,891",11.2,"5,907",13.3,"4,436",13.9,"44,810"
2004,115,Yuba County,"10,263",15.6,"4,469",22.1,"3,433",24.2,"34,493"
2005,001,Alameda County,"166,481",11.8,"51,672",14.5,"34,824",14,"60,937"
2005,003,Alpine County,191,16.6,53,26.2,34,24.2,"45,283"
2005,005,Amador County,"3,377",10,888,13.5,577,11.3,"52,078"
2005,007,Butte County,"39,786",19.2,"10,600",22.8,"6,012",17.4,"36,303"
2005,009,Calaveras County,"4,846",10.5,"1,250",13.9,838,11.8,"47,639"
2005,011,Colusa County,"2,928",14.2,"1,183",19.9,810,19,"39,186"
2005,013,Contra Costa County,"81,009",8.1,"28,165",10.9,"19,481",10.2,"69,463"
2005,015,Del Norte County,"5,547",22.5,"1,808",29.6,"1,201",26.2,"32,724"
2005,017,El Dorado County,"12,888",7.4,"3,484",8.7,"2,328",7.6,"62,199"
2005,019,Fresno County,"177,490",20.8,"79,607",30,"54,209",28.6,"41,390"
2005,021,Glenn County,"4,763",17.5,"1,902",24.3,"1,299",22.9,"35,707"
2005,023,Humboldt County,"20,367",16.5,"5,451",20.4,"3,503",17.9,"33,923"
2005,025,Imperial County,"30,650",21.3,"12,783",27.4,"8,586",26.5,"35,085"
2005,027,Inyo County,"2,089",11.6,646,16.4,426,14.3,"39,911"
2005,029,Kern County,"149,772",20.8,"64,618",28.3,"43,124",26.4,"40,146"
2005,031,Kings County,"24,912",20.6,"10,090",25.4,"6,754",24.2,"40,433"
2005,033,Lake County,"11,650",18.3,"3,864",26.7,"2,719",24.7,"34,874"
2005,035,Lassen County,"4,280",16.9,"1,302",20,837,16.5,"41,423"
2005,037,Los Angeles County,"1,574,523",16.2,"624,433",23.3,"438,828",22.8,"48,166"
2005,039,Madera County,"24,389",18.3,"10,763",27.3,"7,157",25.7,"44,655"
2005,041,Marin County,"15,315",6.5,"3,767",7.7,"2,425",6.9,"78,009"
2005,043,Mariposa County,"2,116",12.7,606,18.3,425,16.4,"39,891"
2005,045,Mendocino County,"14,524",17,"4,812",23.9,"3,210",21.8,"40,149"
2005,047,Merced County,"43,837",18.6,"19,828",25.6,"13,476",23.9,"40,039"
2005,049,Modoc County,"1,853",20.4,580,29.4,387,24.9,"29,506"
2005,051,Mono County,"1,133",9.3,338,12.6,224,11.4,"49,703"
2005,053,Monterey County,"54,467",14.1,"21,517",18.8,"14,290",18.1,"55,723"
2005,055,Napa County,"9,523",7.5,"3,011",9.9,"2,048",9.3,"62,836"
2005,057,Nevada County,"7,310",7.5,"2,005",10.4,"1,374",9.2,"51,582"
2005,059,Orange County,"261,504",8.9,"90,936",11.6,"59,579",10.6,"65,823"
2005,061,Placer County,"17,531",5.6,"5,166",7.1,"3,426",6.3,"62,777"
2005,063,Plumas County,"2,452",11.6,690,16.8,452,14,"40,982"
2005,065,Riverside County,"219,375",11.5,"84,636",15.6,"56,635",14.2,"52,029"
2005,067,Sacramento County,"181,110",13.6,"71,689",19.6,"46,370",17.6,"51,713"
2005,069,San Benito County,"5,550",10.1,"2,217",13.1,"1,513",12.2,"62,215"
2005,071,San Bernardino County,"285,275",15,"117,828",19.9,"80,071",18.4,"48,761"
2005,073,San Diego County,"310,376",11,"116,761",15.7,"77,960",14.9,"56,224"
2005,077,San Joaquin County,"94,537",14.7,"38,044",19.7,"25,828",18.5,"48,828"
2005,079,San Luis Obispo County,"32,138",13.5,"7,151",14.3,"4,661",12.5,"49,313"
2005,081,San Mateo County,"47,351",6.9,"13,502",8.3,"9,090",8.1,"74,286"
2005,083,Santa Barbara County,"48,494",12.7,"16,582",17.1,"10,866",15.9,"54,721"
2005,085,Santa Clara County,"139,059",8.4,"44,369",10.6,"29,984",10.4,"76,686"
2005,087,Santa Cruz County,"28,303",11.8,"8,555",15.2,"5,479",13.9,"57,506"
2005,089,Shasta County,"24,200",13.8,"8,509",20.7,"5,240",17,"41,254"
2005,091,Sierra County,363,10.7,108,15.5,74,13.3,"39,380"
2005,093,Siskiyou County,"7,771",17.5,"2,584",27.4,"1,706",24.1,"35,039"
2005,095,Solano County,"36,193",9.2,"13,593",12.2,"8,834",10.8,"61,784"
2005,097,Sonoma County,"40,094",8.9,"11,738",10.9,"7,340",9.4,"58,110"
2005,099,Stanislaus County,"71,595",14.5,"27,923",18.9,"18,770",17.5,"46,769"
2005,101,Sutter County,"10,371",11.9,"3,636",15.2,"2,529",14.7,"44,914"
2005,103,Tehama County,"10,643",17.8,"4,069",26.9,"2,677",23.8,"33,903"
2005,105,Trinity County,"2,139",16,676,25.8,461,22.4,"31,434"
2005,107,Tulare County,"93,398",23.2,"41,831",31.7,"27,996",30,"38,179"
2005,109,Tuolumne County,"6,334",12.2,"1,735",16.9,"1,164",14.7,"42,381"
2005,111,Ventura County,"75,641",9.7,"28,950",13.5,"19,700",12.6,"66,531"
2005,113,Yolo County,"26,728",15.2,"6,481",14.9,"4,188",13.3,"49,378"
2005,115,Yuba County,"11,196",17.1,"4,969",25,"3,382",24.2,"35,786"
2006,001,Alameda County,"159,493",11.1,"48,871",14.0,"32,661",13.3,"64,285"
2006,003,Alpine County,192,16.4,52,24.2,34,20.9,"47,515"
2006,005,Amador County,"3,100",9.0,783,12.5,529,10.9,"50,528"
2006,007,Butte County,"35,203",16.7,"9,051",20.0,"6,483",19.3,"40,023"
2006,009,Calaveras County,"5,106",10.8,"1,303",15.2,870,12.9,"52,745"
2006,011,Colusa County,"2,863",13.7,"1,143",19.2,758,17.9,"40,240"
2006,013,Contra Costa County,"80,117",7.9,"25,112",10.0,"15,262",8.2,"74,058"
2006,015,Del Norte County,"5,433",21.8,"1,714",29.4,"1,138",26.2,"33,765"
2006,017,El Dorado County,"13,417",7.6,"3,450",8.9,"2,206",7.5,"67,605"
2006,019,Fresno County,"182,150",20.8,"77,193",29.1,"52,572",28.0,"42,433"
2006,021,Glenn County,"4,915",17.8,"1,892",24.5,"1,260",22.5,"38,093"
2006,023,Humboldt County,"22,480",18.0,"5,769",22.1,"3,774",20.2,"38,796"
2006,025,Imperial County,"28,926",19.4,"12,435",26.5,"8,596",26.4,"36,275"
2006,027,Inyo County,"2,055",11.5,603,15.7,404,14.2,"41,366"
2006,029,Kern County,"152,227",20.5,"64,630",28.3,"43,266",26.7,"42,709"
2006,031,Kings County,"26,281",21.3,"10,316",25.9,"6,982",25.3,"42,070"
2006,033,Lake County,"11,134",17.1,"3,522",24.9,"2,290",21.6,"36,174"
2006,035,Lassen County,"3,953",15.6,"1,096",17.7,731,15.5,"45,668"
2006,037,Los Angeles County,"1,502,651",15.4,"581,573",22.0,"408,266",21.5,"51,279"
2006,039,Madera County,"28,994",21.1,"11,744",29.5,"7,970",28.5,"39,919"
2006,041,Marin County,"19,798",8.3,"4,037",8.3,"2,562",7.4,"81,305"
2006,043,Mariposa County,"2,425",13.4,593,18.3,417,16.8,"40,930"
2006,045,Mendocino County,"14,553",16.8,"4,784",24.5,"3,052",21.7,"39,847"
2006,047,Merced County,"50,210",20.7,"21,057",27.4,"14,819",26.8,"40,447"
2006,049,Modoc County,"1,741",18.7,536,28.3,365,24.9,"31,610"
2006,051,Mono County,"1,238",9.7,342,13.0,226,12.2,"51,135"
2006,053,Monterey County,"45,005",11.6,"18,638",16.6,"11,932",15.5,"54,273"
2006,055,Napa County,"13,324",10.3,"3,200",10.7,"2,076",9.6,"63,586"
2006,057,Nevada County,"7,751",7.9,"2,018",11.0,"1,316",9.3,"52,141"
2006,059,Orange County,"289,507",9.8,"101,881",13.1,"67,689",12.2,"70,109"
2006,061,Placer County,"18,565",5.7,"4,737",6.7,"2,964",5.7,"69,982"
2006,063,Plumas County,"2,272",10.8,626,16.2,428,14.4,"46,527"
2006,065,Riverside County,"243,325",12.2,"85,267",15.5,"56,894",14.3,"53,269"
2006,067,Sacramento County,"163,587",12.1,"60,744",17.1,"40,664",16.0,"53,689"
2006,069,San Benito County,"5,292",9.6,"2,030",12.3,"1,323",11.0,"66,941"
2006,071,San Bernardino County,"269,049",13.8,"114,066",19.5,"75,939",17.8,"52,686"
2006,073,San Diego County,"330,618",11.7,"109,042",14.9,"74,326",14.5,"59,279"
2006,077,San Joaquin County,"94,744",14.4,"36,777",19.3,"24,882",18.2,"51,691"
2006,079,San Luis Obispo County,"31,617",13.1,"5,847",12.0,"3,796",10.6,"50,202"
2006,081,San Mateo County,"50,123",7.2,"14,260",8.8,"8,734",7.8,"77,717"
2006,083,Santa Barbara County,"60,724",15.8,"18,225",19.0,"11,438",17.2,"53,382"
2006,085,Santa Clara County,"152,737",9.0,"45,304",10.7,"29,586",10.1,"80,775"
2006,087,Santa Cruz County,"28,639",11.9,"8,099",14.7,"5,299",13.8,"60,863"
2006,089,Shasta County,"29,545",16.7,"9,057",22.9,"6,122",21.0,"42,813"
2006,091,Sierra County,388,11.4,100,16.5,70,14.4,"43,405"
2006,093,Siskiyou County,"7,853",17.6,"2,210",24.8,"1,589",24.1,"34,329"
2006,095,Solano County,"41,115",10.4,"14,199",13.4,"9,630",12.4,"61,529"
2006,097,Sonoma County,"44,108",9.6,"12,148",11.6,"7,641",10.2,"60,656"
2006,099,Stanislaus County,"72,579",14.4,"28,458",19.6,"18,648",17.8,"48,252"
2006,101,Sutter County,"12,004",13.3,"4,431",18.6,"2,806",16.5,"47,174"
2006,103,Tehama County,"10,700",17.6,"3,495",24.0,"2,373",21.9,"35,639"
2006,105,Trinity County,"2,337",16.6,647,25.6,440,22.5,"33,070"
2006,107,Tulare County,"89,357",21.6,"38,306",28.9,"24,705",26.6,"41,117"
2006,109,Tuolumne County,"5,952",11.4,"1,609",16.4,"1,083",14.5,"44,991"
2006,111,Ventura County,"70,978",9.0,"26,689",12.7,"16,838",11.1,"71,807"
2006,113,Yolo County,"30,546",16.9,"6,796",15.7,"4,174",13.4,"50,027"
2006,115,Yuba County,"13,114",19.0,"4,939",24.7,"3,382",24.1,"37,558"
2007,001,Alameda County,"158,223",11.0,"47,412",14.0,"31,688",13.3,"68,263"
2007,003,Alpine County,181,15.9,48,23.6,31,21.1,"46,136"
2007,005,Amador County,"3,432",10.1,830,13.5,543,11.6,"54,903"
2007,007,Butte County,"36,435",17.1,"9,533",21.2,"6,237",19.0,"39,466"
2007,009,Calaveras County,"4,786",10.3,"1,214",14.4,799,12.3,"51,447"
2007,011,Colusa County,"2,656",12.7,"1,122",18.9,748,18.0,"43,882"
2007,013,Contra Costa County,"88,045",8.7,"28,482",11.5,"19,798",10.9,"76,317"
2007,015,Del Norte County,"5,565",22.3,"1,749",30.9,"1,157",28.1,"35,910"
2007,017,El Dorado County,"14,273",8.2,"3,866",10.2,"2,433",8.6,"64,256"
2007,019,Fresno County,"176,300",20.0,"76,567",28.9,"50,245",27.1,"46,547"
2007,021,Glenn County,"4,375",15.8,"1,734",22.7,"1,088",19.9,"38,521"
2007,023,Humboldt County,"21,180",16.9,"5,181",20.5,"3,319",18.5,"37,281"
2007,025,Imperial County,"31,532",21.0,"13,013",27.7,"8,671",27.3,"33,576"
2007,027,Inyo County,"1,962",11.4,603,16.2,393,14.6,"46,865"
2007,029,Kern County,"135,992",18.1,"57,827",24.8,"37,140",22.8,"46,639"
2007,031,Kings County,"21,461",17.2,"8,199",20.5,"5,314",19.3,"45,087"
2007,033,Lake County,"10,440",16.4,"3,691",26.8,"2,308",22.7,"38,113"
2007,035,Lassen County,"4,240",17.2,975,16.7,625,14.3,"47,676"
2007,037,Los Angeles County,"1,423,245",14.6,"536,561",21.1,"368,973",20.2,"53,494"
2007,039,Madera County,"23,295",16.9,"9,708",24.3,"6,516",23.4,"44,259"
2007,041,Marin County,"16,245",6.8,"3,474",7.3,"2,188",6.5,"83,910"
2007,043,Mariposa County,"2,218",12.5,532,17.2,370,15.8,"42,757"
2007,045,Mendocino County,"13,060",15.4,"4,127",22.3,"2,857",21.6,"42,329"
2007,047,Merced County,"46,544",19.3,"19,662",25.8,"12,063",22.2,"43,789"
2007,049,Modoc County,"1,746",19.6,546,30.1,371,27.0,"33,713"
2007,051,Mono County,"1,220",9.6,314,12.4,199,11.3,"54,174"
2007,053,Monterey County,"46,646",12.1,"18,280",16.8,"11,275",15.2,"56,668"
2007,055,Napa County,"11,004",8.6,"3,363",11.4,"2,141",10.1,"61,988"
2007,057,Nevada County,"8,478",8.8,"2,040",11.7,"1,328",10.0,"58,658"
2007,059,Orange County,"264,467",8.9,"90,749",12.1,"60,979",11.2,"73,107"
2007,061,Placer County,"19,949",6.0,"5,201",7.2,"3,234",6.1,"69,667"
2007,063,Plumas County,"2,340",11.5,606,16.5,414,15.0,"45,516"
2007,065,Riverside County,"238,772",11.7,"90,443",15.8,"57,569",14.1,"57,736"
2007,067,Sacramento County,"166,451",12.2,"62,906",17.7,"40,469",16.0,"56,823"
2007,069,San Benito County,"6,318",11.7,"1,933",12.2,"1,320",11.3,"66,273"
2007,071,San Bernardino County,"236,246",12.1,"97,069",16.5,"63,537",15.1,"55,995"
2007,073,San Diego County,"319,404",11.1,"108,955",14.9,"70,905",14.0,"61,724"
2007,077,San Joaquin County,"93,020",14.2,"35,791",18.7,"23,382",17.2,"51,874"
2007,079,San Luis Obispo County,"28,597",11.5,"5,743",11.8,"3,927",11.1,"55,942"
2007,081,San Mateo County,"42,006",6.0,"11,334",7.3,"7,191",6.6,"82,913"
2007,083,Santa Barbara County,"47,490",12.2,"14,108",15.0,"9,594",14.7,"57,741"
2007,085,Santa Clara County,"143,226",8.3,"41,001",9.9,"27,239",9.5,"84,265"
2007,087,Santa Cruz County,"25,672",10.6,"7,638",14.3,"4,905",13.2,"62,849"
2007,089,Shasta County,"23,676",13.4,"8,013",20.6,"5,136",18.1,"41,980"
2007,091,Sierra County,385,11.7,106,18.3,71,16.1,"44,950"
2007,093,Siskiyou County,"7,754",17.7,"2,113",24.9,"1,396",22.7,"35,692"
2007,095,Solano County,"37,744",9.6,"13,018",12.6,"8,150",10.9,"66,575"
2007,097,Sonoma County,"40,534",8.9,"10,778",10.6,"6,544",9.0,"62,279"
2007,099,Stanislaus County,"68,649",13.6,"26,287",18.2,"17,199",16.7,"50,367"
2007,101,Sutter County,"11,059",12.2,"4,278",17.7,"2,905",17.2,"49,104"
2007,103,Tehama County,"11,627",19.3,"3,881",26.8,"2,504",24.0,"36,884"
2007,105,Trinity County,"2,375",17.0,619,26.9,412,23.6,"35,439"
2007,107,Tulare County,"96,712",23.2,"42,630",32.2,"28,349",30.8,"40,444"
2007,109,Tuolumne County,"6,396",12.5,"1,642",17.6,"1,044",14.9,"45,478"
2007,111,Ventura County,"68,653",8.7,"25,466",12.4,"16,379",11.1,"72,762"
2007,113,Yolo County,"27,261",14.5,"6,449",14.6,"4,142",13.1,"55,988"
2007,115,Yuba County,"13,551",19.2,"5,489",26.9,"3,675",26.4,"40,602"
2008,001,Alameda County,"150,203",10.4,"44,060",12.9,"29,156",12.1,"70,217"
2008,003,Alpine County,165,15.7,57,28.2,35,25.0,"49,320"
2008,005,Amador County,"3,333",9.8,816,13.6,529,11.6,"53,951"
2008,007,Butte County,"44,569",20.7,"11,696",26.0,"7,932",24.5,"40,308"
2008,009,Calaveras County,"5,336",11.5,"1,408",17.0,902,14.3,"52,850"
2008,011,Colusa County,"2,816",13.5,"1,157",19.4,779,18.9,"44,622"
2008,013,Contra Costa County,"96,183",9.4,"30,485",12.4,"20,745",11.5,"78,469"
2008,015,Del Norte County,"5,930",23.6,"1,816",31.5,"1,173",28.5,"36,729"
2008,017,El Dorado County,"13,692",7.8,"3,864",10.3,"2,452",8.9,"67,019"
2008,019,Fresno County,"197,265",22.1,"83,435",31.3,"53,005",28.6,"43,534"
2008,021,Glenn County,"4,713",16.9,"2,003",26.2,"1,229",22.7,"39,641"
2008,023,Humboldt County,"24,794",19.8,"6,272",24.4,"4,202",23.5,"39,627"
2008,025,Imperial County,"32,833",21.5,"13,328",28.1,"9,048",28.4,"36,894"
2008,027,Inyo County,"1,964",11.6,643,17.5,421,16.2,"47,197"
2008,029,Kern County,"156,128",20.5,"62,540",26.6,"40,034",24.6,"44,716"
2008,031,Kings County,"22,566",17.9,"9,066",22.5,"5,769",21.0,"48,614"
2008,033,Lake County,"11,462",17.9,"3,371",24.7,"2,205",22.1,"38,926"
2008,035,Lassen County,"5,135",20.7,"1,181",20.5,755,17.6,"47,333"
2008,037,Los Angeles County,"1,482,051",15.3,"548,487",21.8,"376,120",20.9,"55,452"
2008,039,Madera County,"25,275",18.2,"10,930",27.0,"7,127",25.4,"46,066"
2008,041,Marin County,"17,007",7.1,"3,958",8.4,"2,453",7.3,"89,909"
2008,043,Mariposa County,"2,388",13.5,611,20.1,424,18.4,"44,419"
2008,045,Mendocino County,"15,032",17.7,"4,579",24.8,"3,113",23.9,"43,134"
2008,047,Merced County,"52,005",21.5,"21,790",28.8,"14,507",27.1,"42,629"
2008,049,Modoc County,"1,552",17.4,519,29.8,338,26.1,"35,319"
2008,051,Mono County,"1,224",9.6,352,14.2,225,13.1,"55,798"
2008,053,Monterey County,"49,360",12.7,"19,867",18.1,"12,822",17.3,"58,822"
2008,055,Napa County,"11,511",9.0,"3,411",11.5,"2,250",10.7,"64,829"
2008,057,Nevada County,"8,848",9.2,"2,306",13.5,"1,481",11.5,"56,030"
2008,059,Orange County,"294,758",9.9,"101,146",13.4,"67,173",12.4,"74,862"
2008,061,Placer County,"22,873",6.7,"5,579",7.6,"3,661",6.9,"75,029"
2008,063,Plumas County,"2,408",12.0,693,19.9,459,17.6,"48,770"
2008,065,Riverside County,"260,109",12.6,"97,440",17.0,"63,468",15.6,"57,590"
2008,067,Sacramento County,"182,573",13.3,"67,561",19.0,"43,349",17.2,"56,882"
2008,069,San Benito County,"5,628",10.4,"2,219",14.2,"1,472",12.9,"64,646"
2008,071,San Bernardino County,"288,756",14.7,"119,707",20.6,"79,634",19.1,"54,768"
2008,073,San Diego County,"364,576",12.6,"121,555",16.6,"78,274",15.4,"62,820"
2008,077,San Joaquin County,"108,919",16.5,"41,994",22.0,"28,218",21.0,"54,350"
2008,079,San Luis Obispo County,"30,243",12.1,"6,233",12.8,"4,109",11.8,"60,088"
2008,081,San Mateo County,"45,990",6.5,"12,584",8.0,"7,788",7.1,"84,879"
2008,083,Santa Barbara County,"49,422",12.7,"14,733",15.7,"9,623",15.0,"60,645"
2008,085,Santa Clara County,"131,334",7.6,"39,650",9.4,"25,585",8.8,"88,525"
2008,087,Santa Cruz County,"32,460",13.3,"9,035",16.9,"5,943",16.2,"66,495"
2008,089,Shasta County,"31,309",17.7,"9,290",23.9,"6,045",21.7,"42,362"
2008,091,Sierra County,409,12.7,104,19.1,69,16.6,"44,282"
2008,093,Siskiyou County,"7,182",16.4,"2,167",25.4,"1,502",25.0,"36,823"
2008,095,Solano County,"35,393",9.0,"12,134",12.0,"7,605",10.4,"70,173"
2008,097,Sonoma County,"47,726",10.4,"12,898",12.8,"7,965",11.1,"62,314"
2008,099,Stanislaus County,"72,561",14.4,"28,010",19.6,"18,398",18.1,"50,094"
2008,101,Sutter County,"14,048",15.5,"5,204",21.5,"3,491",20.8,"49,146"
2008,103,Tehama County,"10,009",16.5,"3,688",25.5,"2,291",22.3,"38,160"
2008,105,Trinity County,"2,808",19.9,713,31.6,463,27.5,"34,726"
2008,107,Tulare County,"90,369",21.5,"41,040",30.7,"26,220",28.4,"44,383"
2008,109,Tuolumne County,"6,350",12.5,"1,662",18.1,"1,094",16.1,"49,151"
2008,111,Ventura County,"68,486",8.7,"23,649",11.6,"15,414",10.6,"76,190"
2008,113,Yolo County,"27,807",14.6,"6,536",14.7,"4,093",13.0,"57,877"
2008,115,Yuba County,"11,931",16.6,"4,986",23.9,"3,160",22.3,"46,715"
2009,001,Alameda County,"158,531",10.8,"47,805",14.1,"32,459",13.8,"68,258"
2009,003,Alpine County,179,17.3,65,30.7,43,28.7,"45,391"
2009,005,Amador County,"3,762",11.3,990,16.1,650,13.8,"54,461"
2009,007,Butte County,"39,717",18.5,"10,398",23.0,"6,701",20.6,"41,196"
2009,009,Calaveras County,"5,242",11.3,"1,535",17.5,"1,022",15.1,"51,564"
2009,011,Colusa County,"2,803",13.4,"1,287",20.1,834,18.7,"47,472"
2009,013,Contra Costa County,"97,510",9.5,"31,930",12.5,"20,567",11.0,"75,084"
2009,015,Del Norte County,"5,822",23.1,"1,943",31.5,"1,293",29.2,"38,252"
2009,017,El Dorado County,"13,492",7.6,"4,424",10.7,"2,870",9.2,"68,778"
2009,019,Fresno County,"192,638",21.5,"82,440",30.4,"54,072",28.7,"45,219"
2009,021,Glenn County,"4,412",15.8,"1,860",23.1,"1,246",21.7,"41,904"
2009,023,Humboldt County,"23,979",19.0,"6,005",23.5,"3,780",21.4,"35,985"
2009,025,Imperial County,"35,368",22.8,"14,986",29.4,"10,111",29.0,"37,846"
2009,027,Inyo County,"2,139",12.5,702,18.5,468,17.4,"44,090"
2009,029,Kern County,"170,614",22.2,"73,530",29.8,"46,749",27.1,"46,938"
